latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.1468191941352,12.1768047040955,5a652404-6513-47ab-a428-78c02347183c,Salix,Weide,Salix species,Weide,0,6.00,20.00,62.83,7.00,0
54.1083464699981,12.1719863382328,607e51b0-21a0-4903-9659-fd5b2c703118,Tilia,Linde,Tilia cordata,Winter-Linde,0,12.00,25.00,78.54,6.00,0
54.1059014481698,12.1760551825429,9cdb38cf-544b-4a2d-b7a4-ad8360103a0a,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1048011680771,12.1771376491485,01d2d94f-0edf-4500-9922-2267a5f7bd52,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.112292328524,12.1568275971765,36b3fa10-8821-4212-96de-bf3febd972a8,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.60,0
54.1115857360559,12.1562202729953,27917b5f-f74a-4790-8906-d56b0d92f746,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.70,0
54.1118362486712,12.1561449648276,045571b5-cbb3-4236-8eb8-30766bd38549,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.50,0
54.1120923382506,12.1566553652264,d8e60bee-d139-470e-81c1-4350ee7ee4df,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.60,0
54.112002615011,12.1562830760462,6b8593a3-a6c6-429a-ad99-179c3e91a280,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.80,0
54.112107903871,12.1563744136517,26f5c953-eee4-403d-8bce-9a4ee7793576,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.60,0
54.1116462428744,12.1562695343846,bb3ea875-b0d7-4826-8afa-0bcd4b4bf1a5,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,1,5.00,7.00,22.00,1.50,0
54.1151014742278,12.1109124928718,d186e559-a298-488e-83d7-1c56fdbb0637,Sorbus,Mehlbeere,Sorbus intermedia,Schwedische Mehlbeere,0,5.00,7.00,22.00,1.00,0
54.0853344441387,12.145839488577,afd48bd4-734d-4dff-938f-2239d7364386,Acer,Ahorn,Acer platanoides „Deborah“,Spitz-Ahorn „Deborah“,0,5.00,12.00,37.70,1.00,0
54.1140711332556,12.1053100875692,be8655fe-d0f4-44ef-a58f-899fc433491c,Carpinus,Hain-/Weißbuche,Carpinus betulus,Gemeine Hainbuche,1,4.00,7.00,22.00,1.50,0
54.1129545830414,12.1063858595653,1fe725f6-f5a6-4419-9101-4687213f0e68,Carpinus,Hain-/Weißbuche,Carpinus betulus,Gemeine Hainbuche,1,4.50,7.00,22.00,1.30,0
54.0862757370297,12.0894975135128,3c51f6b4-2b1a-4c9d-b9e0-6a4f03190696,Ailanthus,Götterbaum,Ailanthus altissima,Götterbaum,1,8.00,38.00,119.38,7.00,0
54.1415481860897,12.1649753802916,a255fae4-f5fd-4a1d-b6dc-c9eec454e2f3,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,1,5.00,7.00,22.00,1.40,0
54.0925339069673,12.1529426783984,35d90e70-495f-4668-a736-8baf91a21d9b,Betula,Birke,Betula species,Birke,0,9.00,24.00,75.40,5.00,0
54.1446536726622,12.1731692744299,a155af61-bc0a-47ec-905f-39e1f6f213af,Carpinus,Hain-/Weißbuche,Carpinus betulus,Gemeine Hainbuche,0,8.00,18.00,56.55,4.00,0
